How to prevent stem bleeding in coconut ?,"Keep the gardens well-maintained by fertilizing them enough. Burn the exposed tissue, remove the sick tissue using a portion of healthy tissue, then apply molten coal tar before swabbing Bordeaux paste. Follow root feeding or stem injection approach if stem bleeding is noticed in conjunction with Ganoderma. When summer comes around, irrigate."
What are the common diseases that affect cashew plant?,"Common diseases that affect the Cashew plant include Anthracnose, gummosis and powdery mildew. Other minor diseases include pink disease, apple rot, black mold, leaf spot and leaf blight, bacterial leaf and fruit spot, brown root rot, shoot rot and leaf fall, cashew leaf and nut blight, bacterial wilt, red rust and sooty mold. "
what is gummosis?,Gummosis is a common disease that affects the cashew plant. The disease is caused by Ceratocystis sp. The disease is characterised by exudation of a reddish brown liquid from the main stem and branches which later turn black in colour. Longitudinal cracks also appears on the affected region from which gum exudes. The inner tissues of the affected portions will be reddish brown having small cavities filled with reddish fluid.
How to prevent bud rot in coconut?,"Trees that have been severely damaged and cannot be saved should be removed and burned. If the disease is identified early, thoroughly remove the contaminated tissue by removing the infected spindle and the two surrounding leaves and protecting the cut region with a Bordeaux mixture. Before the monsoon season starts, spray all healthy plants nearby where illnesses are present with a preventive solution containing a 1% Bordeaux mixture."
How can gummosis be cured?,It is recommended to Chisel out the affected part and apply Bordeaux paste or swab the cut portion with suspension of copper oxychloride.
How to prevent grey leaf blight in coconut?,"Remove and burn the infected, fallen leaves periodically. Apply heavy doses of potash. Improve the drainage conditions of the soil. Spray the crown with 0.25 percent copper oxychloride or 1 percent Bordeaux mixture before starting the rainy period."
How to prevent lethal yellowing in coconut?,A coconut palm that has already contracted the disease cannot now be cured. Any palm that exhibits lethal yellowing symptoms must be cut out and disposed of. Commercial transfer of living palms from disease-affected areas to disease-free areas is sometimes restricted to prevent the spread of lethal yellowing in the tropics.
How to prevent brown leaf spot and grey leaf spot in coconut?,"It is doubtful that the diseases affecting older leaves will lower harvests. Sometimes they can be very bad if there have been a lot of rainy days or if the soil where the palms are growing is deficient in nutrients. Improving nutrition and growing conditions is necessary if control measures are required. If spots appear in nurseries when shaded, reduce the amount of shadow."
What is powdery mildew?,Wite surface powdery growth of the fungal spores on parts.
What is anthracnose?,"Dark, sunken lesions on fruits, leaves, and flowers; fruit drop; leaf spots."
What is mango bacterial spot in mango?,"Black spots on leaves, stems, and fruits; leaf drop; fruit rot."
What is root rot in mango?,"Wilting, leaf yellowing, root decay, and plant death."
What is pineapple mealybug?,"Small insects feed on the sap of the plant, causing stunted growth and yellowing of the leaves. Signs of a mealybug infestation include white, cotton-like masses on the leaves and stems."
What is pineapple fusariosis?,"Pineapple fusariosis is a fungal disease that affects the roots and crown of pineapple plants. It is caused by the fungus Fusarium guttiforme and can result in wilting, yellowing, and eventually death of the plant."
What is pineapple black rot?,Pineapple black rot is another fungal disease that affects the fruit and crown of the plant. It is caused by the fungus Ceratocystis paradoxa and can lead to significant fruit loss.
What is pineapple wilt?,"Pineapple wilt is a common disease caused by the soil-borne pathogen Phytophthora parasitica. It affects the roots and can cause wilting, yellowing, and eventually death of the plant."
What is stem bleeding in coconut tree?,"The distinguishing sign is the exudation of a reddish-brown fluid from the stem fractures. The exudates dry up, producing a black crust as the liquid trickles several feet down the stem. The tissues beneath the fractures develop yellow and perish."
What is bud rot in coconut?,"The condition can affect palms of any age, although it affects young palms the most, between the ages of 5 and 20. The earliest sign of disease appears on the tree’s primary stalk (spindle).The heart leaf displays a discoloration that turns it from yellowish brown to brown. The heart leaf then starts to droop and begin to break. As they spread, more leaves become afflicted by disease, losing their luster and turning pale yellow."
What is grey leaf blight in coconut?,"Initially, symptoms appear exclusively on the outer whorl of the leaves, particularly on older leaves. Tiny yellow dots with a grayish edge can be seen on the leaves. Gradually, the center of the spots turns greyish white, with dark brown edges and a yellow halo."
What are brown leaf spot and grey leaf spot in coconut?,"These spots, which may be up to 10 mm long and 4 mm broad and have grey cores and somewhat wide dark brown margins around them, can be found on the top surface of older leaves with brown leaf spot disease. The spot edges are less distinct on the bottom surface, but this is where the black powdery spore masses develop. Only a microscope can clearly see the spores because they are so tiny and rounded."
What is lethal yellowing in coconut?,Coconut plants can have a disease called Lethal Yellowing. A mycoplasma-like organism is thought to reside inside the coconut palm’s food-conducting veins. The organism will destroy the tree. A bug known as a “leaf hopper” is responsible for spreading the disease.
What are the diseases that affect guava?,Here are the common diseases that affects guava: 1.Algal leaf spot (Cephaleuros virescens). 2.Anthracnose (Colletotrichum gloeosporoides)  3.Pseudocercospora leaf spot (Pseudocercospora psidii)  4.Rust (Puccinia psidii)
What is algal leaf spot in guava?,"Orange, rust-colored, dense, silky tufts on both upper and lower surfaces of leaves which turn reddish-purple in color as they mature; if tufts are scraped away, a thin gray-white or dark-colored necrotic spot remains on the leaf; bark on twigs and branches may be cracked; young stems and fruit may also be attacked."
What is Pseudocercospora leaf spot in guava?,"Small irregularly shaped or roughly circular dark brown lesions with darker brown border on upper surface of leaves; lesions may also be present on stems and fruit; under humid conditions, fungus may sporulate and gray tufts of mycelium may be visible in the center of lesions; lesions may coalesce to form large necrotic patches."
What is red rust in cashew plant?,"Red rust is an algal disease caused by Cephaleuros virescens, especially in close planted orchards. It is characterized by the reduction in photosynthetic activity that results in defoliation. Small, circular, greenish-grey spots appear on leaves, petioles and tender twigs. The spots gradually turn reddish brown and coalesce to form large irregular and slightly raised patches. No control measures have been suggested for this disease."
What is sooty Mould in cashew plant?,"Sooty mold is the most common fungal disease. It is caused by Capnodium sp. (Dothideales: Ascomycotina) on a vast number of plants including cashew trees. The fungus does not enter into the tissues of their hosts but grow rapidly on the honeydew excreted by various insects such as aphids, coccids, hoppers, etc. The fungus forms a superficial thick black coating on leaves (usually on upper side), twigs and even fruits, wherever the honeydew excreted by the insects falls. "
How can sooty mould be cured?,Control of insect pests that exude honeydew will prevent the occurrence of this disease. The disease can be controlled by spraying fish oil resin soap (1.5 kg in 1000 litre of water ) followed by starch solution 2 per cent.
What are the diseases that affect rambuttan?,"Several diseases that affect rambuttan include: Anthracnose, Root Rot, Powdery Mildew, Pink Diseases, Leaf Spot, Algal Leaf Spot and Fruit Rot"
What is the algal leaf spot that affects rambuttan?,Orange to greenish spots that can coalesce to form larger particles on the leaves
How to solve algae leaf spot ,Using copper based fungicides and maintaining good air-circulation is recommended to prevent development if algal leaf spot in rambuttan
What are the diseases that affect tamarind,"Diseases in Tamarind include Anthracnose, Powdery Mildew, Leaf Spot and root rot. Diseases caused by pests include: Tamarind Seed Borer, Tamarind Scale and Mealybugs"
How can Tamarind Seed Borer be treated?,"Usage of pesticides, regular monitoring and removal of affected fruits is recommended."
What are the affects of Tamarind Scale?,"Development of scales on leaves and stem, causing yellowing and stunting of growth."
How can Tamarind Scale be treated?,"It is recommended to use horticultural oils or insecticidal soaps, and pruning of heavily infested branches is promoted"
What are mealybugs which affect tamarind plant?,"Formation of white cottony masses on leaves, stems and fruits which weaken the plant is the affect of mealybugs on tamarind"
How can mealybugs be managed?,"Application of insecticidal soap or neem oil, along with removal by hand is the encouraged method to handle problems caused by mealybugs"
What is rust in guava?,"Orange to red pustules appearing on leaves, young shoots, flowers and/or fruit; leaves distorted; defoliation of tree; reduced growth; circular lesions on fully expanded leaves with dark borders and yellow halos."
How can we prevent algal leaf spots in guava?,"Ensure trees receive adequate fertilization, irrigation and and are properly pruned to avoid stress on the plants and promote air circulation through the canopy; periodic applications of a copper based fungicide is usually enough to control the disease."
How can we prevnet Pseudocercospora leaf spot in guava?,"In areas where environmental conditions are conducive to the development of the disease, chemical control using appropriate fungicides is necessary to control the disease; copper-containing fungicides are most effective."
How can we prevent rust in guava?,"Primary method of controlling disease is usually the application of appropriate fungicides; cultural practices that may reduce the incidence of the disease include good sanitation practices and adequate fertilization, irrigation and pruning of trees."
What are the common diseases that affect eggplant?,Here are the common diseases that affect eggplant: 1.Blossom-end rot   2.Cercospora leaf spot (Cercospora melongenae)  3.Colletotrichum fruit rot (Colletotrichum melongenae) 4.Damping-off (Fusarium) 5.Early blight (Alternaria tomatophilia)  6.Phomopsis fruit rot (Phomopsis vexans)
What is blossom end rot in eggplant?,"Small water-soaked area on end of fruit where the blossom was occurring on unripe fruit; lesion enlarges and turns sunken, black and leathery in appearance."
How can we prevent blossom end rot in eggplant?,"Maintain soil pH at 6.5; lime soil to increase the concentration of calcium in soil and decrease competition with other ions; use mulch to reduce drought stress; avoid ammonium fertilizers as they may increase competition with calcium by increasing ammonium ions in soil, use nitrate instead; avoid over fertilizing."
What is Cercospora leaf spot in eggplant?,"Symptoms appear first on lower part of plant and move upwards; initial symptoms are small circular or oval chlorotic spots on leaves which develop light to dark brown centers; as the lesions expand, they may develop concentric zones; severely infested leaves may dry out and curl then drop from the plant."
How can we prevent Cercospora leaf spot in eggplant?,Irrigate plants in the morning to allow plenty time for plants to dry out during the day; irrigate at base of plant to avoid leaf wetness; use adequate plant spacings to decrease humidity in the plant canopy; applications of appropriate protective fungicides can protect plants from disease.
What is Colletotrichum fruit rot in eggplant?,Sunken lesions on the fruit filled with pinkish fungal ooze; severely infected plants drop to the ground with the pedicel still attached.
How can we prevent Colletotrichum fruit rot in eggplant?,Avoid sprinkler irrigation when fruit is ripening; rotate crops with other non-solanaceous plants; applications of appropriate protective fungicides may be required if disease is in the area.
What is damping off in eggplant?,"Failure of seedling to emerge; light brown, seedlings with light brown to redwater-soaked roots and stems; collapse of plants; plant dry up and die; stunted plant growth; rotting taproot with few lateral roots"
How can we prevent damping off in eggplant?,Plant pathogen-free seed or transplants that have been produced in sterilized soil; apply fungicide to seed to kill off any fungi; shallow plant seeds or delay planting until soil warms
What is Early blight is eggplant?,Premature dropping of lower leaves; brown-black spots on leaves; spots covering leaf surface; alternating rings of light and dark on leaves; yellowing dry leaves; large sunken area of concentric rings and black velvety texture at stem end of fruit
How can we prevent early blight in eggplant?,"Apply fungicide at first sign of disease; destroy any volunteer solanaceous plants (tomato, potato, nightshade etc); practice crop rotation"
What is Phomopsis fruit rot in eggplant?,"Circular brown spots with lighter centers on fruits; infested leaves may turn yellow and drop from plant; dark cankers may form on stems; symptoms on fruit begin as pale sunken areas which are oval in shape, these area grow bigger and become depressed; lesions may coalesce to cover all or most of the fruit"
How can we prevent Phomopsis fruit rot in eggplant?,Destroy infected plant material to reduce levels of inoculum; plant only disease free seed and clean transplants; applications of appropriate fungicides may be required to control the disease
What are the diseases that affect cocoa plant?,Here are the common diseases that affect cocoa plant:1.Black pod (Phytophthora pod rot)  2.Cocoa swollen shoot  3.Frosty pod  4.Witches' broom 
Why is my plant developing white pores?,"White pores on plants is the indication that your plant is affected by Powdery Mildew.  It starts out as a few spores on the leaves, and quickly spreads, eventually yellowing the leaves and causing premature leaf drop. "
How frequently should i  spray pesticides?,"The frequency of spraying pesticides depends on factors including type of pests, weather conditions, and the pesticide used."
What are the best methods to prevent mango diseases?,"Preventing mango diseases includes: Choosing well drained sites with good air circulation. Remove and destroy fallen leaves, fruits to reduce disease carryover, avoid over-irrigation and monitor mango trees regulary for signs of pests or diseases."
Steps to follow before planting any fruit.,"Choose a well-drained site, with good air circulation. Choose mango varieties suitable to your local climate. Conduct soil test to assess fertility, pH levels,etc. Plan the layout of your orchard. Provide adequate irrigation. Apply organic mulch around newly planted tree. Monitor health of plants regularly."
"How much water do fruit trees need, and how often should I irrigate?","Every fruit tree is different, but in general, you should water weekly the first year they're in the ground. Many fruit trees below require what's called a “deep soak” which generally requires 40 minutes of watering to reach depths of 12-24 inches. Watering may also depend on the soil they're planted in."
What are the signs of nutrient deficiency in plants?,"Nutrient deficiency symptoms occur as yellowing of leaves, interveinal yellowing of leaves, shortened internodes, or abnormal coloration such as red, purple, or bronze leaves. These symptoms appear on different plant parts as a result of nutrient mobility in the plant."
What are the several pruning techniques?,"Several pruning techniques include: 1.Thinning: This technique involves the selective removal of entire branches or limbs to reduce the density of the tree's canopy. By thinning, you allow more sunlight and fresh air to penetrate the inner portions of the tree, fostering better fruit production and reducing disease risk.  2.Heading Back: Heading back refers to trimming the tips of branches to stimulate branching and new growth. It's especially useful for young trees, enabling you to shape them as desired and encourage a strong structure.3.Pinching: Pinching involves gently nipping off the tips of young shoots using your fingers. It's an effective method for managing excessive vegetative growth and directing the tree's energy towards fruit production.  4.Renewal Pruning: For older trees, consider removing older, unproductive branches to make way for new, vigorous growth. This technique helps breathe new life into ageing trees."
How do I know when fruits are ready for harvest?,Check whether tree fruits such as apples and pears are ready by cupping a fruit in the palm of your hand and twisting gently. If it easily comes away it's ready. Softer tree fruits such as peaches and nectarines are ready when they become slightly softer at the stalk end of the fruit.
How do you increase banana yield & improve fruit quality?,"Increasing banana yield and improving fruit quality involves a multifaceted approach that includes selecting the right varieties, optimizing soil nutrients, implementing effective spacing and crop rotation strategies, managing irrigation efficiently, and timely application of fertilizers and pesticides."
What are the ideal soil conditions for specific fruit crops?,Medium textured silt loam or fine sandy loam makes good orchard soil. Most fruit plants like slightly acidic to neutral soil reaction (pH 6-7). Some fruit species can some times tolerate little more acidic or alkaline medium but too acidic or too alkaline soil should be avoided.
What is the best location on my property to plant fruit trees?,"Most fruit bearing trees and shrubs will benefit from as much light as they can get, especially in temperate climates. Without sufficient sunlight, they may not set fruit. Or their fruit may not ripen well. On a small lot, the best place to consider is at the south of your home (northern hemisphere)."
How to prepare soil for planting trees?,Steps to follow to prepare your soil for growing fruits include: 1.Clearing large rocks and weeds. 2.Testing the soil. 3.Adjusting the soil. 4.Tilling the soil. 5.Hilling up the surface soil. 6.Add Mulch
How should banana plants be spaced?,"Bananas can be planted with higher density at 1.5m x 1.5 m but yields are poor due to competition for sunlight. The recommended spacing is at 2.0m x 2.5m with 2,000 plants per hectare since that is the standard distance to minimize Sigatoka."
How can we prevent witches broom in cocoa plant?,Good sanitation is the most effective method of controlling the disease; material known to be infected should be removed and destroyed; removal of infected material can be difficult as there may be no visible symptoms; new fungicides and resistant cocoa varieties are being developed to help control the disease.
What is witches broom in cocoa plant?,Characteristic proliferation of shoots and brooms from bud; production of branches which do not produce fruit; distorted pods with green patches which give an appearance of uneven ripening.
How can we prevent frosty pod in cocoa plant?,Planting cocoa varieties that produce pods during the dry season allows the pod to avoid the disease; pods showing symptoms of disease should be removed to prevent spread; application of copper containing fungicides will help reduce disease incidence.
What is frosty pod in cocoa plant?,Spots on surface of immature pods; spots turning brown and rapidly enlarging to cover entire pod surface; disease affects only actively growing pods.
How can we prevent Cocoa swollen shoot in cocoa plant?,Infected trees and those surrounding them should be removed and destroyed (up to 5 m from infected tree if less than 10 trees are infected and up to a distance of 15 m if greater than 100 trees are infected) to prevent further spread; a gap should be placed between cocoa plantations of at least 10 m (33 ft) and it may be possible to isolate cocoa plantations using a non-host crop such as oil palm growing between plantations.
What is Cocoa swollen shoot in cocoa plant?,"Swelling of leaves and shoots; red leaf veins, notably in young leaves; chlorotic patches next to leaf veins; chlorotic spots or flecks on leaves mottled, smooth pods with reduced beans; mottled coloration on pods; stems may develop swellings at nodes or internodes and shoot tips; progressive defoliation may occur ultimately leading to the death of the tree."
How can we prevent black pod in cocoa plant?,Protective sprays of copper containing fungicides in combination with systemic fungicides are often recommended to control the disease; cocoa plants should be well spaced to allow good air circulation through the plantation; mummified pods should be removed and destroyed to reduce spread
What is black pod in cocoa plant?,"Translucent spots on pod surface which develop into a small, dark hard spots; entire pod becomes black and necrotic with 14 days of initial symptoms; white to yellow downy growth on black areas; internal tissues become dry and shriveled resulting in mummified pods"
